device_id,hostname_y,datetime,Jam,Hari,type_x,severity,hardware,message,os
33,117.103.68.166,2026-06-07 03:08:05,3,Sunday,interface,3,CCR1036-8G-2S+,ifType:  -> other,routeros
6,10.246.0.114,2026-06-07 03:10:09,3,Sunday,temperature,4,CCR1036-12G-4S 7.22.2 (stable),Temperature under threshold: 32 °C (< 33 °C),routeros
48,10.246.88.18,2026-06-07 03:17:18,3,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 03:17:18,3,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 03:17:18,3,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 03:17:18,3,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 03:17:18,3,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 03:17:18,3,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 03:17:18,3,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 03:28:19,3,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2511 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 03:52:24,3,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 03:52:24,3,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 03:52:24,3,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 03:52:24,3,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 03:52:24,3,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 03:52:24,3,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 03:52:24,3,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 04:08:22,4,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2723 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 04:22:28,4,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 04:22:28,4,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 04:22:28,4,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 04:22:28,4,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 04:22:28,4,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 04:22:28,4,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 04:22:28,4,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 04:38:22,4,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2303 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 04:52:32,4,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 04:52:32,4,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 04:52:32,4,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 04:52:32,4,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 04:52:32,4,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 04:52:32,4,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 04:52:32,4,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 04:53:23,4,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2731 rpm (< 2754.4 rpm),routeros
21,10.246.15.202,2026-06-07 05:08:25,5,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2748 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 05:22:37,5,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 05:22:37,5,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 05:22:37,5,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 05:22:37,5,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 05:22:37,5,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 05:22:37,5,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 05:22:37,5,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 05:23:27,5,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2674 rpm (< 2754.4 rpm),routeros
21,10.246.15.202,2026-06-07 05:43:29,5,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2625 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 05:52:40,5,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 05:52:40,5,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 05:52:40,5,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 05:52:40,5,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 05:52:40,5,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 05:52:40,5,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 05:52:41,5,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 06:08:33,6,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2626 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 06:27:44,6,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 06:27:45,6,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 06:27:45,6,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 06:27:45,6,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 06:27:45,6,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 06:27:45,6,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 06:27:45,6,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 06:33:33,6,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2521 rpm (< 2754.4 rpm),routeros
21,10.246.15.202,2026-06-07 06:48:34,6,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2668 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 06:57:49,6,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 06:57:49,6,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 06:57:49,6,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 06:57:49,6,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 06:57:49,6,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 06:57:49,6,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 06:57:49,6,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 07:08:38,7,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2497 rpm (< 2754.4 rpm),routeros
21,10.246.15.202,2026-06-07 07:18:39,7,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2587 rpm (< 2754.4 rpm),routeros
17,10.246.3.70,2026-06-07 07:19:59,7,Sunday,temperature,4,,Temperature above threshold: -14 °C (> -980 °C),zxa10
48,10.246.88.18,2026-06-07 07:27:52,7,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 07:27:52,7,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 07:27:52,7,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 07:27:52,7,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 07:27:52,7,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 07:27:52,7,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 07:27:52,7,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 07:28:43,7,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2648 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 07:57:56,7,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 07:57:56,7,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 07:57:56,7,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 07:57:56,7,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 07:57:56,7,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 07:57:56,7,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 07:57:56,7,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 07:58:47,7,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2632 rpm (< 2754.4 rpm),routeros
6,10.246.0.114,2026-06-07 08:05:46,8,Sunday,temperature,4,CCR1036-12G-4S 7.22.2 (stable),Temperature under threshold: 32 °C (< 33 °C),routeros
17,10.246.3.70,2026-06-07 08:25:07,8,Sunday,temperature,4,,Temperature above threshold: -14 °C (> -980 °C),zxa10
48,10.246.88.18,2026-06-07 08:27:59,8,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 08:27:59,8,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 08:27:59,8,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 08:27:59,8,Sunday,interface,3,,ifOperStatus:  -> up,vyos
